Id,Label,timeset,modularity_class,eigencentrality
0,Pieter Jansz van der Aa,,1,0.074225
1,Boudewijn van der Aa,,0,0.925564
2,Johannes Seutert,,1,0.052366
3,Jacob Kaesgieter,,1,0.052366
4,Jan de Bruijn,,2,0
5,Jacob Huyser,,0,0.369876
6,Teunis Steeman,,0,0.369876
7,Jacobus van der Spijk,,3,1
8,Cornelis van der Aa,,3,0.396855
9,Johannes van der Bosch,,3,0.396855
10,Ary Vis,,3,0.396855
11,Cornelis de Vries,,3,0.396855
12,Johannes Le Maire,,4,0.567821
13,Jacob Marcus,,4,0.233761
14,Willem Henricxz,,4,0.233761
