Source,Target
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Picherel, Petrus (d. 1590)"
"Elzevier, Bonaventura";"Simler, Josias (1530-1576)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Witte, Petrus de (1622-1669)"
"Elzevier, Abraham (I)";"Colonius, Danie͏̈l (1566-1635)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Bonaventura";"Vossius, Gerardus Joannes (1577-1649)"
"Elzevier, Bonaventura";"Buchanan, George (1506-1582)"
"Elzevier, Abraham (I)";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Vossius, Gerardus Joannes (1577-1649)"
"Elzevier, Bonaventura";"Daillé, Jean (Sr. ; 1594-1670)"
"Elzevier, Abraham (I)";"15)"
"Elzevier, Bonaventura";"Heinsius, Daniel (1580-1655)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Dedel, Johannes (ca1611-)"
"Elzevier, Bonaventura";"Hommius, Festus (1576-1642)"
"Elzevier, Abraham (I)";"Golius, Jacobus (1596-1667)"
"Elzevier, Bonaventura";"Episcopius, Johannes (1634-1646 fl.)"
"Elzevier, Abraham (I)";"Caesar, C. Julius (100 v.C.-44 v.C.)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Du Ryer, Pierre (ca.1606-1658)"
"Elzevier, Abraham (I)";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Abraham (I)";"Schooten, Frans van (de Jongere ; 1615-1660)"
"Elzevier, Abraham (I)";"Vera et de Cunniga, Antonio de (1583-1658)"
"Elzevier, Abraham (I)";"Delmanhorst, Hendrik van (fl.1592-1642)"
"Elzevier, Bonaventura";"Schrevelius, Theodorus (1572-1653)"
"Elzevier, Abraham (I)";"69-1536)"
"Elzevier, Abraham (I)";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Selden, John (1584-1654)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Boccalini, Traiano (1556-1613)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"18)"
"Elzevier, Bonaventura";"Schurman, Anna Maria van (1607-1678)"
"Elzevier, Bonaventura";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Abraham (I)";"Sulpicius Severus (363-ca.420)"
"Elzevier, Abraham (I)";"Justinus, M. Junianus (3e eeuw na Chr)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Cardano, Girolamo (1501-1576)"
"Elzevier, Abraham (I)";"Heinsius, Daniel (1580-1655)"
"Elzevier, Abraham (I)";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Irvinus, Alexander (-1657)"
"Elzevier, Bonaventura";"Caesar, C. Julius (100 v.C.-44 v.C.)"
"Elzevier, Bonaventura";"Aitzema, Lieuwe van (1600-1669)"
"Elzevier, Abraham (I)";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Bonaventura";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Abraham (I)";"Du Moulin, Pierre (1568-1658)"
"Elzevier, Abraham (I)";"Cicero, M. Tullius (106-43 v. Chr.)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Bonaventura";"Cicero, M. Tullius (106-43 v. Chr.)"
"Elzevier, Abraham (I)";"Stevin, Simon (1548-1620)"
"Elzevier, Abraham (I)";"Pasor, George (1570-1638)"
"Elzevier, Bonaventura";"Cluverius, Philippus (1580-1622)"
"Elzevier, Bonaventura";"Homerus (ca. 800 v.Chr.)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Curtius Rufus, Quintus (1e E.)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Sceperus, J. (1607-1677)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Burch, Lambert van der (1542-1617)"
"Elzevier, Abraham (I)";"Rotrou, Jean (1609-1650)"
"Elzevier, Abraham (I)";"Balzac, Jean Louis Guez de (1597-1654)"
"Elzevier, Abraham (I)";"Giannotti, Donato (1492-1573)"
"Elzevier, Bonaventura";"Schurman, Anna Maria van (1607-1678)"
"Elzevier, Abraham (I)";"Barlaeus, Caspar (1584-1648)"
"Elzevier, Bonaventura";"Cicero, M. Tullius (106-43 v. Chr.)"
"Elzevier, Abraham (I)";"Busbecq, Ogier Ghislain de (1522-1592)"
"Elzevier, Bonaventura";"Heinsius, Daniel (1580-1655)"
"Elzevier, Abraham (I)";"Göllnitz, Abraham (ca1600-1642 fl.)"
"Elzevier, Abraham (I)";"Caesar, C. Julius (100 v.C.-44 v.C.)"
"Elzevier, Abraham (I)";"Caesar, C. Julius (100 v.C.-44 v.C.)"
"Elzevier, Abraham (I)";"Cloppenburg, Johannes (1592-1652)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Nisselius, Joannes Georgius (ca1624-na1662)"
"Elzevier, Abraham (I)";"Vinnius, Arnoldus (1588-1657)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Duez, Nathanae͏̈l (1609-c.1670)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Bongars, Jacques (1554-1612)"
"Elzevier, Abraham (I)";"Horatius Flaccus, Q. (65-8 v. Chr)"
"Elzevier, Abraham (I)";"Bentivoglio, Guido (1579-1644)"
"Elzevier, Abraham (I)";"Rivet, André (1572-1651)"
"Elzevier, Bonaventura";"Sulpicius Severus (363-ca.420)"
"Elzevier, Bonaventura";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Bonaventura";"Binyamīn ben-Yōnah (12e E.)"
"Elzevier, Abraham (I)";"Linden, Johannes Antonides van der (1609-1664)"
"Elzevier, Bonaventura";"Silhon, Jean de (1596-1667)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"158 v.Chr.)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Rivet, André (1572-1651)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Xenophon Atheniensis (ca430-354 v.Chr.)"
"Elzevier, Abraham (I)";"Bentivoglio, Guido (1579-1644)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Bonaventura";"Vergilius Maro, P. (70 v.Chr.-19 v.Chr.)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Bonaventura";"Bisterfeld, Johann Heinrich (1605-1655)"
"Elzevier, Abraham (I)";"Cicero, M. Tullius (106-43 v. Chr.)"
"Elzevier, Bonaventura";"Sleidanus, Johannes (1506-1556)"
"Elzevier, Abraham (I)";"Sarpi, Paolo (1552-1623)"
"Elzevier, Bonaventura";"Freitag, Adam"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Meibom, Johann Heinrich (1590-1655)"
"Elzevier, Abraham (I)";"Goldmann, Nicolaus (1623-1665)"
"Elzevier, Bonaventura";"Schrevelius, Theodorus (1572-1653)"
"Elzevier, Abraham (I)";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Bonaventura";"Heinsius, Nicolaas (1620-1681)"
"Elzevier, Abraham (I)";"Bronchorst, Everardus (1554-1627)"
"Elzevier, Abraham (I)";"Saumaise, Claude (1588-1653)"
"Elzevier, Abraham (I)";"Vliet, J. van (1622-1666)"
"Elzevier, Bonaventura";"Holywood, John (ca. 1195-ca. 1250)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Scriverius, Petrus (1576-1660)"
"Elzevier, Abraham (I)";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Abraham (I)";"Garnier, Philippe (d.ca.1655)"
"Elzevier, Bonaventura";"Ravens, Johannes Arnoldsz (ca. 1580-1650)"
"Elzevier, Bonaventura";"Vossius, Gerardus Joannes (1577-1649)"
"Elzevier, Abraham (I)";"Burgersdijck, Franco (1590-1635)"
"Elzevier, Bonaventura";"Cicero, M. Tullius (106-43 v. Chr.)"
"Elzevier, Bonaventura";"Sanderus, Lambertus (ca1625-1672)"
"Elzevier, Bonaventura";"Zevecote, Jacob van (1596-1642)"
"Elzevier, Bonaventura";"Spanheim, Friedrich (1600-1649)"
"Elzevier, Bonaventura";"Maestertius, Jacobus (1610-1658)"
"Elzevier, Bonaventura";"Gonzalez de Salas, José Antonio (1588-1651)"
"Elzevier, Bonaventura";"Saumaise, Claude (1588-1653)"
"Elzevier, Abraham (I)";"Hippocrates (ca. 460-377? v.Chr.)"
